Ticker,Company_Name,Sector,First_Date,Last_Date,Total_Trading_Days,Starting_Price,Ending_Price,Total_Return_%,Highest_Price,Lowest_Price,Avg_Daily_Volume,Total_Dividends_Paid,Number_of_Splits,Avg_Daily_Return_%,Volatility_%,Current_Market_Cap,Current_PE_Ratio,Current_Dividend_Yield
INDUSINDBK.NS,IndusInd Bank Ltd.,Financials,2002-07-01,2026-01-30,5857,13.32038688659668,896.0999755859375,6627.28189665134,1957.756164933868,9.917573563134605,2927683.964145467,102.75,0,0.11366957287029665,2.897731874249043,698129973248,,
INFY.NS,Infosys Ltd.,IT,1999-01-01,2026-01-30,6770,7.067403316497803,1641.0,23119.277668352806,1948.777171484316,7.017380304411595,14741443.625258494,345.585942,8,0.10736544399695441,2.313424487227567,6638977679360,23.14854,2.74
ITC.NS,ITC Ltd.,FMCG,1999-01-01,2026-01-30,6767,8.42238712310791,322.1499938964844,3724.9250383258227,491.92897929887965,5.438983679425964,19003780.3234816,124.877777,3,0.07176165233340324,1.8929385688573306,4036291198976,19.800245,4.45
JSWSTEEL.NS,JSW Steel Ltd.,Metals,2003-05-08,2026-01-30,5636,7.901537895202637,1214.4000244140625,15269.160289054324,1245.0,7.727877363379469,7675289.472498226,59.825,2,0.13084499903047694,2.8944419291832673,2966611558400,39.84252,0.23
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financials,2001-07-02,2026-01-30,6118,0.4436476230621338,408.0,91864.87905962674,459.8498287702682,0.2400590618998838,13622507.233899968,2.7635,5,0.2906533294120745,8.903203072978036,4057761054720,21.59873,0.12
LT.NS,Larsen & Toubro Ltd.,Infrastructure,2002-07-01,2026-01-30,5859,30.091901779174805,3932.300048828125,12967.635530930404,4195.0,12.403231311798974,3385985.869260966,309.108887,5,0.11602928076731409,2.604239351747694,5409317322752,30.76917,0.86
LTIM.NS,LTIMindtree Ltd.,IT,2016-07-21,2026-01-30,2355,607.8668823242188,5974.5,882.8632178736418,7227.646284500224,522.8213438993429,299183.34649681527,401.05,0,0.11757781297221157,2.0299303362033694,1771072782336,37.324295,1.12
M&M.NS,Mahindra & Mahindra Ltd.,Automobile,1999-01-01,2026-01-30,6768,13.144210815429688,3431.800048828125,26008.832983716406,3839.89990234375,4.3877310782077865,3699278.3541666665,166.925,3,0.1564029036883957,4.1342163130145915,4119782752256,27.173965,0.74
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile,2003-07-09,2026-01-30,5592,140.9958038330078,14599.0,10254.208850988729,17370.0,133.01490680576342,1060249.2923819742,871.0,0,0.10368369440503769,2.0358351082380355,4589963182080,30.769068,0.92
NESTLEIND.NS,Nestle India Ltd.,FMCG,2002-08-12,2026-01-30,5829,418.9486999511719,1332.4000244140625,218.0341709066892,1374.3829021711597,96.03976343803214,818787.196946303,107.65,2,0.03862927857633797,1.5607558056628874,2569286189056,81.44254,1.44
NTPC.NS,NTPC Ltd.,Power,2004-11-05,2026-01-30,5245,33.00070571899414,356.0,978.7648089449732,434.1373428397763,30.57643145771596,9552672.955386082,94.17500100000001,1,0.06215518503948902,1.832599560641236,3452013379584,19.690266,3.12
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,1999-01-01,2026-01-30,6767,6.354040145874023,268.9599914550781,4132.897263479307,318.1151424882011,2.9997345586954496,9771409.219151765,159.611109,3,0.09669943766573434,2.9221996566916584,3383591698432,9.242611,6.79
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,2007-10-05,2026-01-30,4518,31.243070602416992,256.5,720.9820451519798,349.4778913255409,16.354322940528082,11930462.457945993,79.68563,2,0.0630405915808665,1.811706015651429,2385604771840,16.47399,5.26
